month,who_wants_to_be_hired,who_is_hiring
2019-01,239,951
2019-02,174,828
2019-03,222,864
2019-04,290,858
2019-05,262,1007
2019-06,207,787
2019-07,435,891
2019-08,253,843
2019-09,156,703
2019-10,363,891
2019-11,245,732
2019-12,240,666
2020-01,236,694
2020-02,217,673
2020-03,335,769
2020-04,503,597
2020-05,319,685
2020-06,297,655
2020-07,278,676
2020-08,405,825
2020-09,338,696
2020-10,279,807
2020-11,243,802
2020-12,263,759
2021-01,273,839
2021-02,225,1043
2021-03,217,959
2021-04,218,964
2021-05,231,913
2021-06,211,1029
2021-07,159,977
2021-08,214,895
2021-09,208,955
2021-10,189,837
2021-11,231,1007
2021-12,195,813
2022-01,224,757
2022-02,244,870
2022-03,246,855
2022-04,174,787
2022-05,264,831
2022-06,221,842
2022-07,233,605
2022-08,287,745
2022-09,290,609
2022-10,265,551
2022-11,300,627
2022-12,188,563
2023-01,381,523
2023-02,385,582
2023-03,384,629
2023-04,456,574
2023-05,355,499
2023-06,430,528
2023-07,346,444
2023-08,444,529
2023-09,381,494
2023-10,493,639
2023-11,370,596
2023-12,394,504
2024-01,459,481
2024-02,466,537
2024-03,429,483
2024-04,454,485
2024-05,452,731
2024-06,461,550
2024-07,487,604
2024-08,386,466
2024-09,420,484
2024-10,427,481
2024-11,357,493
2024-12,421,471
2025-01,378,481
2025-02,489,616
2025-03,471,516
2025-04,285,493
2025-05,367,435
2025-06,379,528
2025-07,364,456
2025-08,357,448
2025-09,353,445
2025-10,372,465
2025-11,435,582
2025-12,413,547
2026-01,405,404
2026-02,556,597
2026-03,429,467
2026-04,413,465
2026-05,557,552
2026-06,588,497
2026-07,566,437
